lon,lat,depth,Time UTC,mag
115.45,-8.31,11,2017-10-08T06:36:36,2.3
115.42,-8.3,11,2017-10-08T06:57:29,2.6
115.45,-8.31,10,2017-10-09T17:42:50,2.8
115.43,-8.26,17,2017-10-10T14:39:44,2.9
115.43,-8.31,10,2017-10-11T00:06:46,2.7
115.4,-8.22,17,2017-10-11T01:43:08,2.7
115.45,-8.29,11,2017-10-11T11:18:09,3
115.43,-8.28,11,2017-10-11T21:15:08,2.5
115.43,-8.29,11,2017-10-12T04:35:21,3.1
115.44,-8.29,11,2017-10-12T06:24:20,3
115.48,-8.32,10,2017-10-13T16:28:22,3.6
115.51,-8.28,10,2017-10-13T23:31:35,3.6
115.44,-8.34,10,2017-10-14T15:15:15,2.3
115.49,-8.32,10,2017-10-14T21:47:41,2.6
115.37,-8.04,10,2017-10-15T03:28:27,2.8
115.53,-8.31,10,2017-10-15T03:45:50,2.8
115.46,-8.32,10,2017-10-15T08:29:11,2.8
115.45,-8.31,10,2017-10-15T17:42:47,2.7
115.37,-8.2,10,2017-10-15T22:20:05,3.2
115.48,-8.3,10,2017-10-17T10:56:38,2.8
115.46,-8.28,13,2017-10-17T13:20:15,2.5
115.47,-8.28,11,2017-10-17T17:11:13,2.9
115.46,-8.3,12,2017-10-17T22:47:34,2.9
115.44,-8.32,10,2017-10-18T06:47:44,3.1
115.45,-8.3,10,2017-10-18T08:17:18,2.6
115.49,-8.29,10,2017-10-18T10:21:17,3
115.41,-8.3,13,2017-10-18T14:26:16,2.7
115.41,-8.32,13,2017-10-19T03:51:42,2.6
115.45,-8.29,10,2017-10-22T01:27:06,2.7
115.44,-8.09,10,2017-10-29T00:18:22,3.1
115.47,-8.32,11,2017-10-29T01:49:13,3.1
115.54,-8.21,10,2017-11-04T14:42:44,2.8
115.56,-8.3,10,2017-11-08T21:54:18,4.9
115.53,-8.3,11,2017-11-08T22:00:12,3
115.54,-8.31,10,2017-11-08T22:23:46,2.5
115.57,-8.25,10,2017-11-08T23:02:53,3.9
115.54,-8.32,13,2017-11-09T01:26:46,3
115.53,-8.35,10,2017-11-09T05:32:34,2.8
115.54,-8.25,10,2017-11-10T23:01:39,3
115.25,-8.77,102,2017-11-16T17:58:26,4
115.4,-8.13,10,2017-11-19T14:42:08,3.2
115.44,-8.74,30,2017-11-27T13:38:36,2.4
115.64,-8.3,10,2017-11-29T12:17:25,3
115.61,-8.28,12,2017-12-01T13:54:46,3.7
115.55,-8.22,20,2017-12-01T15:50:59,2.6
115.65,-8.21,10,2017-12-02T19:16:35,2.9
115.6,-8.2,12,2017-12-02T19:26:19,2.7
115.61,-8.22,10,2017-12-02T19:37:04,2.9
115.48,-8.03,10,2017-12-06T03:58:28,3.7
115.51,-8.15,12,2017-12-08T15:21:00,2.7
115.34,-8.16,10,2017-12-12T22:32:34,3
115.61,-8.74,21,2017-12-30T04:35:30,2.7
115.5,-8.29,11,2018-01-02T15:33:09,2.4
115.46,-8.27,10,2018-01-17T02:34:17,2.5
115.53,-8.7,97,2018-02-23T09:32:13,3.7
115.47,-8.23,10,2018-02-28T22:22:29,2.4
115.53,-8.23,10,2018-02-28T22:44:17,2.6
115.51,-8.21,10,2018-03-01T00:59:58,2.9
